year,title,total,budget,studio
2000,The Hurricane,50.7,38,Universal
2000,Men of Honor,48.82,32,20th Century Fox
2000,"Dude, Where's My Car",46.73,13,20th Century Fox
2000,The Tigger Movie,45.54,20,Disney
2000,"O Brother, Where ",45.51,26,Universal
2000,Frequency,44.98,31,New Line
2001,Harry Potter,317.576,130,Warner Brothers
2001,Fellowship of the Ring,314.163,109,New Line
2001,"Monsters, Inc",289.124,115,Pixar
2001,Shrek,267.665,60,DreamWorks
2001,Rush Hour 2,226.164,90,New Line
2001,The Mummy Returns,202.008,98,Universal
2001,Pearl Harbor,198.543,152.7,Touchstone
2001,Ocean's 11,183.349,85,Warner Brothers
2001,Jurassic Park III,181.166,93,Universal
2001,Planet Of The Apes,180.012,100,20th Century Fox
2001,A Beautiful Mind,169.35,60,DreamWorks
2001,Hannibal,165.09,87,Universal
2001,Fast and the Furious,155.02,38,Universal
2001,American Pie 2,145.1,30,Universal
2001,Tomb Raider,131.15,80,Paramount
2001,Dr Dolittle 2,112.95,72,20th Century Fox
2001,Spy Kids,112.69,35,Dimension
2001,Black Hawk Down,108.64,95,Columbia
2001,The Princess Diaries,108.25,30,Disney
2001,Vanilla Sky,100.59,68,Paramount
2001,Legally Blonde,96.49,18,MGM
2001,The Others,96.47,17,Dimension
2001,America's Sweethearts,93.61,48,Columbia
2001,Cats & Dogs,93.38,60,Warner Brothers
2001,Save the Last Dance,91.04,13,Paramount
2001,Atlantis,84.05,90,Disney
2001,Jimmy Neutron,80.94,25,Paramount
2001,AI,78.62,90,Warner Brothers
2001,Training Day,76.63,45,Warner Brothers
2001,Along Came a Spider,74.06,28,Paramount
2001,Bridget Jones's Diary,71.54,26,Studio Canal
2001,Scary Movie 2,71.28,45,Dimension
2001,The Score,71.11,68,Paramount
2001,Shallow Hal,70.84,40,20th Century Fox
2001,Swordfish,69.77,80,Warner Brothers
2001,The Mexican,66.81,38,DreamWorks
2001,Down to Earth,64.17,30,Paramount
2001,Spy Game,62.36,92,Universal
2001,The Wedding Planner,60.4,35,Columbia
2001,Behind Enemy Lines,58.86,40,20th Century Fox
2001,Ali,58.2,107,Columbia
2001,The Animal,57.74,22,Columbia
2001,Moulin Rouge,57.39,52.5,20th Century Fox
2001,Rat Race,56.61,48,Paramount
2001,A Knight's Tale,56.57,41,Columbia
2001,Don't Say A Word,55,50,20th Century Fox
2001,Blow,52.99,30,New Line
2001,Royal Tenenbaums,52.36,21,Touchstone
2001,Exit Wounds,51.76,33,Warner Brothers
2001,Enemy at the Gates,51.4,70,Paramount
2001,K-PAX,50.34,48,Universal
2001,Serendipity,50.29,28,Miramax
2001,Kate & Leopold,47.12,48,Miramax
2001,Domestic Disturbance,45.21,53,Paramount
2001,Zoolander,45.16,28,Paramount
2002,Spider-Man,407.681,139,Columbia
2002,The Two Towers,341.748,94,New Line
2002,Attack of the Clones,310.677,120,20th Century Fox
2002,Chamber of Secrets,261.98,100,Warner Brothers
2002,My Greek Wedding,241.438,5,IFC Films
2002,Signs,227.966,70.2,Blinding Edge
2002,Goldmember,213.118,63,New Line
2002,Men In Black 2,194.391,140,Columbia
2002,Ice Age,176.387,60,20th Century Fox
2002,Chicago,170.685,40,Miramax
2002,Catch Me If You Can,164.61,52,DreamWorks
2002,Die Another Day,160.7,142,MGM
2002,Scooby-Doo,153.29,52,Warner Brothers
2002,Lilo & Stitch,145.77,80,Disney
2002,xXx,141.93,85,Columbia
2002,The Santa Clause 2,139.23,65,Disney
2002,Minority Report,132.02,80,20th Century Fox
2002,The Ring,128.58,60,DreamWorks
2002,Sweet Home Alabama,127.61,30,Touchstone
2002,Mr Deeds,126.29,50,Columbia
2002,The Bourne Identity,121.66,75,Universal
2002,The Sum of All Fears,118.5,68,Paramount
2002,8 Mile,116.73,50,Universal
2002,Road to Perdition,104.34,80,DreamWorks
2002,Panic Room,95.31,48,Columbia
2002,Maid in Manhattan,93.93,55,Columbia
2002,Two Weeks Notice,93.35,60,Warner Brothers
2002,Red Dragon,93.1,78,Universal
2002,The Scorpion King,90.45,60,Universal
2002,Spy Kids 2,85.63,30,Dimension
2002,Blade 2,81.68,55,New Line
2002,Snow Dogs,81.16,35,Disney
2002,We Were Soldiers,78.12,75,Paramount
2002,Gangs of New York,77.82,97,Miramax
2002,Space Station,77.09,,IMAX
2002,The Rookie,75.6,24,Disney
2002,Barbershop,75.59,12,MGM
2002,Spirit,73.28,80,DreamWorks
2002,John Q,71.03,36,New Line
2002,Ya-Ya Sisterhood,69.6,27,Warner Brothers
2002,Insomnia,67.36,46,Warner Brothers
2002,Changing Lanes,66.8,45,Paramount
2002,About Schmidt,65.01,30,New Line
2002,Stuart Little 2,64.8,120,Columbia
2002,Jackass: The Movie,64.27,5,Paramount
2002,Next Friday,57.33,9.5,New Line
2002,The Time Machine,56.71,80,Warner Brothers
2002,Drumline,56.4,20,20th Century Fox
2002,Count of Monte Cristo,54.23,35,Touchstone
2002,Unfaithful,52.76,50,20th Century Fox
2002,Like Mike,51.43,30,20th Century Fox
2002,The Tuxedo,50.28,60,DreamWorks
2002,Peter Pan 2,48.42,20,Disney
2002,Big Fat Liar,47.81,15,Universal
2002,Star Trek: Nemesis,43.25,70,Paramount
2003,Finding Nemo,380.482,94,Disney
2003,Return of the King,377.019,94,New Line
2003,Pirates of the Caribbean,305.411,125,Disney
2003,The Matrix Reloaded,281.539,127,Warner Brothers
2003,Bruce Almighty,242.705,81,Universal
2003,X2,214.95,110,20th Century Fox
2003,Elf,173.381,30,New Line
2003,Terminator 3,150.35,170,Warner Brothers
2003,The Matrix Revolutions,139.26,110,Warner Brothers
2003,Cheaper by the Dozen,138.615,40,20th Century Fox
2003,Bad Boys II,138.5,75,Columbia
2003,Anger Management,133.76,56,Columbia
2003,Bringing Down ,132.54,35,Touchstone
2003,Hulk,132.18,150,Universal
2003,2 Fast 2 Furious,127.08,76,Universal
2003,Something's Gotta Give,124.59,80,Columbia
2003,Seabiscuit,120.15,80,Universal
2003,SWAT,116.75,80,Columbia
2003,Spy Kids 3D,111.76,39,Dimension
2003,The Last Samurai,111.13,140,Warner Brothers
2003,Freaky Friday,110.22,26,Disney
2003,Scary Movie 3,110,45,Miramax
2003,The Italian Job,106.13,60,Paramount
2003,How to Lose a Guy,105.81,50,Paramount
2003,American Wedding,104.35,55,Universal
2003,Daddy Day Care,104.15,60,20th Century Fox
2003,Daredevil,102.54,75,20th Century Fox
2003,Charlie's Angels 2,100.79,144,Columbia
2003,The Cat in the Hat,100.75,109,Universal
2003,Cold Mountain,95.63,83,Miramax
2003,Master & Commander,93.93,135,20th Century Fox
2003,Mystic River,90.14,30,Warner Brothers
2003,Legally Blonde 2,89.88,45,MGM
2003,Brother Bear,85.33,,Disney
2003,Freddy vs Jason,82.5,30,New Line
2003,The School of Rock,81.26,20,Paramount
2003,Texas Chainsaw ,80.15,9.5,New Line
2003,Haunted Mansion,75.82,90,Disney
2003,Old School,75.15,24,DreamWorks
2003,Kill Bill 1,70.1,32.5,Miramax
2003,Holes,67.33,35,Disney
2003,Kangaroo Jack,66.74,60,Warner Brothers
2003,LXG: League of ,66.46,78,20th Century Fox
2003,Big Fish,66.26,70,Columbia
2003,Tomb Raider 2,65.65,90,Paramount
2003,Mona Lisa Smile,64.36,65,Columbia
2003,Shanghai Knights,60.47,50,Touchstone
2003,Bad Santa,60.06,18,Dimension
2003,Gothika,59.59,40,Warner Brothers
2003,Love Actually,59.37,47.5,Universal
2003,Radio,59.21,35,Columbia
2003,Open Range,58.33,20,Touchstone
2003,Once Upon Mexico,56.82,30,Miramax
2003,Just Married,56.13,18,20th Century Fox
2003,Paycheck,53.79,60,Paramount
2004,Shrek 2,437.212,75,DreamWorks
2004,Spider-Man 2,373.378,200,Sony Pictures
2004,The Passion,370.774,30,Newmarket
2004,Meet the Fockers,279.168,80,DreamWorks
2004,The Incredibles,261.438,92,Disney
2004,Prisoner of Azkaban,249.539,130,Warner Brothers
2004,The Day After Tomorrow,186.741,125,20th Century Fox
2004,The Polar Express,183.155,165,Warner Brothers
2004,The Bourne Supremacy,176.049,75,Universal
2004,National Treasure,173.016,70,Disney
2004,Shark Tale,161.41,70,DreamWorks
2004,"I, Robot",144.8,105,20th Century Fox
2004,Troy,133.26,175,Warner Brothers
2004,Ocean's 12,125.53,110,Warner Brothers
2004,50 First Dates,120.78,75,Columbia
2004,Van Helsing,120.07,160,Universal
2004,Fahrenheit 911,119.08,6,Lions Gate
2004,Lemony Snicket,118.63,140,Paramount
2004,Dodgeball,114.32,20,20th Century Fox
2004,The Village,114.2,71.7,Touchstone
2004,The Grudge,110.18,10,Sony Pictures
2004,The Aviator,102.61,110,Warner Brothers
